zip,internet_adoption_rate,median_income,total_population,pct_seniors,pct_under18,poverty_rate,pct_white,pct_black,pct_hispanic,pct_bachelor_plus,acs_year,avg_household_size,city,state,NAME,area_data_type,geography_type,geography_id,geography_desc,total_units,biz_res,technology,speed_02_02,fcc_10mbps_coverage,fcc_25mbps_coverage,fcc_100mbps_coverage,fcc_250mbps_coverage,fcc_gigabit_coverage,cluster,lime_top_features,MSA,County
78626,0.7792776620952108,94927,40758,0.09985769664851073,0.23845625398694734,0.10023688140480973,0.6711320476961579,0.0706609745326071,0.3417979292408852,0.21799401344521321,2022,2.78,GEORGETOWN,TX,"georgetown, texas",Total,Census Place,4829336,Georgetown,39764,R,Any Technology,1.0,1.0,1.0,1.0,0.9418,0.3798,0,"% Bachelor Plus: 22%, % White: 67%, Avg Household Size: 2.8",Austin,Williamson County
78628,0.8624461172231873,111491,41428,0.17710244279231438,0.23735154967654726,0.05522391666868067,0.8165009172540311,0.032586656367674036,0.1504779376267259,0.3443323356184223,2022,2.66,GEORGETOWN,TX,"georgetown, texas",Total,Census Place,4829336,Georgetown,39764,R,Any Technology,1.0,1.0,1.0,1.0,0.9418,0.3798,1,"% Hispanic: 15%, % White: 82%, % Bachelor Plus: 34%",Austin,Williamson County
78633,0.8646811026531668,95510,27292,0.565990033709512,0.09053935219111828,0.04027018097720348,0.9211124138941814,0.00883042649860765,0.09138208998974058,0.4558112267331086,2022,2.01,GEORGETOWN,TX,"georgetown, texas",Total,Census Place,4829336,Georgetown,39764,R,Any Technology,1.0,1.0,1.0,1.0,0.9418,0.3798,1,"% Bachelor Plus: 46%, % Hispanic: 9%, % White: 92%",Austin,Williamson County
78634,0.8856290402784684,105023,41099,0.0729214822745079,0.2530961823888659,0.07538846134993382,0.6591401250638702,0.09158373683057983,0.36086036156597484,0.21832647996301613,2022,2.92,HUTTO,TX,"hutto, texas",Total,Census Place,4835624,Hutto,12885,R,Any Technology,1.0,1.0,1.0,1.0,0.9928,0.6705,0,"% Black: 9%, Avg Household Size: 2.9, % Bachelor Plus: 22%",Austin,Williamson County
78640,0.7715488880115805,83735,68265,0.07147147147147147,0.2780487804878049,0.09673974309531579,0.6297517029224347,0.04560169926023584,0.5844429795649307,0.16484289167215996,2022,2.97,KYLE,TX,"kyle, texas",Total,Census Place,4839952,Kyle,20075,R,Any Technology,1.0,1.0,1.0,1.0,0.9564,0.5888,0,"% Hispanic: 58%, % Bachelor Plus: 16%, Avg Household Size: 3.0",Austin,Hays County
78641,0.8607192394871275,124614,87106,0.08883429384887379,0.28289670057171723,0.04193410355156183,0.6893554978991114,0.05707987968681836,0.22757330149473057,0.2969026243886759,2022,2.95,LEANDER,TX,"leander, texas",Total,Census Place,4842016,Leander,29229,R,Any Technology,1.0,1.0,1.0,1.0,0.9574,0.7133,1,"Median Income: $124,614, % Hispanic: 23%, Avg Household Size: 3.0",Austin,Williamson County
78642,0.7516358877417478,117490,20699,0.10720324653364897,0.28257403739311077,0.034992223950233284,0.8178172858592202,0.020387458331320354,0.257210493260544,0.2569206241847432,2022,3.0,LIBERTY HILL,TX,"liberty hill, texas",Total,Census Place,4842664,Liberty Hill,3553,R,Any Technology,1.0,1.0,1.0,1.0,0.9702,0.8677,1,"Median Income: $117,490, % White: 82%, % Black: 2%",Austin,Williamson County
78644,0.5635948210205636,70496,20088,0.16472520908004779,0.2241636798088411,0.1318410683012259,0.704599761051374,0.04256272401433692,0.5349960175228993,0.12634408602150538,2022,2.79,LOCKHART,TX,"lockhart, texas",Total,Census Place,4843240,Lockhart,7547,R,Any Technology,1.0,1.0,1.0,1.0,0.9125,0.0004,0,"% Hispanic: 53%, % Bachelor Plus: 13%, Median Income: $70,496",Austin,Caldwell County
78645,0.8094391465977049,107736,14344,0.2575292805354155,0.14089514779698828,0.04425150539140176,0.8683770217512549,0.01805633017289459,0.17798382598996096,0.2960122699386503,2022,2.32,LEANDER,TX,"leander, texas",Total,Census Place,4842016,Leander,29229,R,Any Technology,1.0,1.0,1.0,1.0,0.9574,0.7133,1,"% Hispanic: 18%, % White: 87%, % Black: 2%",Austin,Travis County
78648,0.37463386057410664,55406,8250,0.25781818181818184,0.1469090909090909,0.09230769230769231,0.5973333333333334,0.06581818181818182,0.4539393939393939,0.09309090909090909,2022,2.36,LULING,TX,"luling, texas",Total,Census Place,4845096,Luling,2875,R,Any Technology,1.0,1.0,1.0,1.0,0.9496,0.0,0,"% Hispanic: 45%, % Bachelor Plus: 9%, Median Income: $55,406",Austin,Caldwell County
78653,0.7438428557184166,95651,32884,0.055558934436199976,0.32562948546405546,0.10837483577255645,0.477222965575964,0.16670721323439971,0.5591473056805741,0.17321493735555285,2022,3.28,MANOR,TX,"manor, texas",Total,Census Place,4846440,Manor,6835,R,Any Technology,1.0,1.0,1.0,1.0,0.926,0.7042,0,"% Hispanic: 56%, % Bachelor Plus: 17%, % Black: 17%",Austin,Travis County
78655,0.6795146324054246,53750,3671,0.08771451920457642,0.2013075456278943,0.12707935642214344,0.57913375102152,0.03050939798420049,0.5794061563606646,0.13293380550258785,2022,2.62,MARTINDALE,TX,"martindale, texas",Total,Census Place,4846848,Martindale,553,R,Any Technology,1.0,1.0,1.0,1.0,0.8807,0.0488,0,"% Hispanic: 58%, % Bachelor Plus: 13%, Median Income: $53,750",Austin,Caldwell County
78660,0.8555717370561945,105874,113386,0.06933836628860705,0.2734905543894308,0.06272922166510161,0.49216834529836134,0.15973753373432345,0.3749757465648316,0.2584093274301942,2022,2.84,PFLUGERVILLE,TX,"pflugerville, texas",Total,Census Place,4857176,Pflugerville,30314,R,Any Technology,1.0,1.0,1.0,1.0,0.8972,0.4863,0,"% Black: 16%, % White: 49%, Avg Household Size: 2.8",Austin,Travis County
78664,0.8712914295643108,83599,62168,0.0959818556170377,0.23508879166130486,0.10102695347933134,0.592426972075666,0.14478509844292883,0.3395155063698366,0.20574893836057134,2022,2.68,ROUND ROCK,TX,"round rock, texas",Total,Census Place,4863500,Round Rock,49848,R,Any Technology,1.0,1.0,1.0,1.0,0.9427,0.3846,0,"% Black: 14%, % Bachelor Plus: 21%, % White: 59%",Austin,Williamson County
78665,0.9007464374575888,113365,61640,0.097809863724854,0.274935107073329,0.04761594686548699,0.5897469175859831,0.11578520441271901,0.24529526281635303,0.3166937053861129,2022,2.78,ROUND ROCK,TX,"round rock, texas",Total,Census Place,4863500,Round Rock,49848,R,Any Technology,1.0,1.0,1.0,1.0,0.9427,0.3846,0,"% Black: 12%, % Hispanic: 25%, Poverty Rate: 5%",Austin,Williamson County
78666,0.7185361589244265,52432,86530,0.10902577140875996,0.14284063330636773,0.24445222786520227,0.67725644285219,0.05555298740321276,0.4384837628568127,0.17448283832196926,2022,2.36,SAN MARCOS,TX,"san marcos, texas",Total,Census Place,4865600,San Marcos,33069,R,Any Technology,1.0,1.0,1.0,1.0,0.9631,0.257,0,"% Hispanic: 44%, % Bachelor Plus: 17%, Poverty Rate: 24%",Austin,Hays County
78674,0.2857142857142857,89500,233,0.02145922746781116,0.2875536480686695,0.10300429184549356,1.0,0.0,0.8369098712446352,0.0,2022,4.16,WEIR,TX,"weir, texas",Total,Census Place,4877056,Weir,295,R,Any Technology,1.0,1.0,1.0,1.0,0.7932,0.0,0,"% Hispanic: 84%, % Bachelor Plus: 0%, % White: 100%",Austin,Williamson County
78681,0.8695326168457885,123948,57760,0.10761772853185596,0.27837603878116346,0.04808796409060858,0.6799861495844876,0.050415512465373964,0.20869113573407203,0.3458448753462604,2022,2.88,ROUND ROCK,TX,"round rock, texas",Total,Census Place,4863500,Round Rock,49848,R,Any Technology,1.0,1.0,1.0,1.0,0.9427,0.3846,1,"Median Income: $123,948, % Hispanic: 21%, Poverty Rate: 5%",Austin,Williamson County
78701,0.888255587220639,148049,10659,0.11333145698470776,0.018106764236795195,0.1400570884871551,0.7698658410732714,0.027394689933389622,0.16530631391312506,0.680176376770804,2022,1.49,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 68%, % Hispanic: 17%, Median Income: $148,049",Austin,Travis County
78702,0.7945582638270305,87342,25723,0.09676165299537379,0.1508766473583952,0.20768985830281803,0.6313804766162578,0.12238074874625822,0.3460716090658166,0.42821599346888,2022,2.02,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Black: 12%, Poverty Rate: 21%, Avg Household Size: 2.0",Austin,Travis County
78703,0.9003726046841731,139617,22669,0.13048656755922183,0.15113150116899732,0.05588600852272727,0.8608672636640345,0.01385151528519123,0.10997397326745777,0.5952622524151926,2022,1.99,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 60%, % Hispanic: 11%, % White: 86%",Austin,Travis County
78704,0.8124886218823958,89258,50250,0.08250746268656717,0.1158407960199005,0.12040291910782197,0.7774527363184079,0.04079601990049751,0.25213930348258706,0.4761791044776119,2022,1.77,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 48%, % White: 78%, % Black: 4%",Austin,Travis County
78705,0.7280413806823833,24126,32644,0.023250827104521504,0.0173385614508026,0.553721534464313,0.6119041784095086,0.09447371645631662,0.2173446881509619,0.1437630192378385,2022,1.94,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Bachelor Plus: 14%, % Black: 9%, Median Income: $24,126",Austin,Travis County
78717,0.9055444632160958,136960,34499,0.09356792950520305,0.28305168265746833,0.04360937137555092,0.4888257630655961,0.05881329893620105,0.16171483231398012,0.4212296008579959,2022,2.65,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% White: 49%, % Hispanic: 16%, Median Income: $136,960",Austin,Williamson County
78719,0.6515151515151515,53712,1511,0.19060225016545335,0.14162806088682992,0.09666666666666666,0.500992720052945,0.02316346790205162,0.7385837193911317,0.045665122435473195,2022,2.86,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 74%, % Bachelor Plus: 5%, % White: 50%",Austin,Travis County
78721,0.7226811423176775,80573,10445,0.08099569171852561,0.19042604116802297,0.18463025616239728,0.5384394447103877,0.18563906175203446,0.38353279080899955,0.35002393489707995,2022,2.43,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Black: 19%, % White: 54%, Poverty Rate: 18%",Austin,Travis County
78722,0.9036989795918368,92543,6308,0.11350665821179455,0.1341154090044388,0.12736547638637485,0.7511097019657578,0.08449587824984148,0.22003804692454026,0.5286937222574508,2022,1.94,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 53%, Poverty Rate: 13%, % Hispanic: 22%",Austin,Travis County
78723,0.7597924773022049,81986,37000,0.11062162162162162,0.2175945945945946,0.14448803879897554,0.5578918918918919,0.1454864864864865,0.3618918918918919,0.34402702702702703,2022,2.38,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% White: 56%, % Black: 15%, Poverty Rate: 14%",Austin,Travis County
78724,0.7344304996448022,69925,28331,0.04708623063075783,0.29840104479192403,0.16275969336740362,0.2962126292753521,0.16046027319896933,0.6720906427588155,0.12470438742014048,2022,3.21,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 67%, % Bachelor Plus: 12%, % Black: 16%",Austin,Travis County
78725,0.9180457052797478,94603,9896,0.09438156831042846,0.19229991915925626,0.04183508488278092,0.4578617623282134,0.09357316087308003,0.5534559417946645,0.29153193209377526,2022,2.6,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 55%, % Black: 9%, % White: 46%",Austin,Travis County
78726,0.9276498448472971,96352,13696,0.08498831775700935,0.20254088785046728,0.10025380710659898,0.7067026869158879,0.01737733644859813,0.18582067757009346,0.46115654205607476,2022,2.19,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 46%, % Black: 2%, % Hispanic: 19%",Austin,Travis County
78727,0.9127275396359366,104347,30601,0.10404888729126499,0.1796673311329695,0.05914366271064193,0.5951766282147642,0.079637920329401,0.16702068559850985,0.46423319499362764,2022,2.24,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 46%, % Hispanic: 17%, Poverty Rate: 6%",Austin,Travis County
78728,0.8559748427672956,70092,27111,0.06643060012541036,0.20795986868798644,0.152752124122645,0.5430637010807421,0.1540703035668179,0.30865700269263396,0.3214931208734462,2022,2.13,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Black: 15%, % White: 54%, Poverty Rate: 15%",Austin,Travis County
78729,0.881551003630883,78889,31309,0.09537193778146859,0.18004407678303364,0.06753903250575889,0.6165639273052477,0.09732025935034655,0.2009326391772334,0.43584911686735445,2022,2.14,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Black: 10%, % Hispanic: 20%, Avg Household Size: 2.1",Austin,Williamson County
78730,0.9568570739937334,141794,9746,0.1645803406525754,0.21773035091319515,0.04258157192694439,0.7794992817566181,0.006874615226759697,0.14180176482659554,0.49445926533962653,2022,2.35,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 49%, % White: 78%, % Hispanic: 14%",Austin,Travis County
78731,0.8808070279928529,98555,26314,0.17861214562590255,0.17025157710724328,0.07856571885348863,0.8143953788857642,0.010336702895796914,0.1277646879987839,0.5389906513642928,2022,1.95,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 54%, % Hispanic: 13%, % White: 81%",Austin,Travis County
78732,0.9071084678561314,187286,19311,0.09119154885816375,0.3013826316607115,0.023300467047223664,0.7534047951944488,0.05017865465278857,0.11496038527264253,0.4327067474496401,2022,2.73,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Hispanic: 11%, Median Income: $187,286, Poverty Rate: 2%",Austin,Travis County
78733,0.953405017921147,193786,9014,0.1428888395828711,0.3125138673175061,0.017783705679671,0.6924783669846905,0.016973596627468383,0.13789660528067452,0.4854670512536055,2022,2.94,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 49%, % Hispanic: 14%, Median Income: $193,786",Austin,Travis County
78734,0.8844264046143986,125074,21685,0.23062024440857737,0.19995388517408347,0.05973204317082248,0.8440857735762047,0.02259626469910076,0.1492275766658981,0.4195065713626931,2022,2.3,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Hispanic: 15%, Median Income: $125,074, % White: 84%",Austin,Travis County
78735,0.9084028082492321,118593,19793,0.14338402465518113,0.20209164856262316,0.0930779054916986,0.8134188854645582,0.02687818925882888,0.19612994493002578,0.48239276511898144,2022,2.14,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 48%, % White: 81%, Median Income: $118,593",Austin,Travis County
78736,0.8793666750439809,96385,9352,0.15825491873396064,0.17258340461933278,0.0699157121244867,0.8871899059024807,0.002887082976903336,0.21449957228400343,0.3712574850299401,2022,2.32,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% White: 89%, % Black: 0%, % Hispanic: 21%",Austin,Travis County
78737,0.8778625954198473,151635,24951,0.12448398861769068,0.3511282112941365,0.06373414673302295,0.7411326199350727,0.02392689671756643,0.21955031862450403,0.35389363151777486,2022,3.22,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"Median Income: $151,635, % Black: 2%, % Hispanic: 22%",Austin,Hays County
78738,0.9309849029475198,158194,28613,0.1531471708663894,0.2786146157341069,0.047785629329042185,0.7401530772725684,0.03260755600601126,0.1217278859259777,0.4808303917799602,2022,2.57,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 48%, % Hispanic: 12%, Median Income: $158,194",Austin,Travis County
78739,0.8954981549815498,205821,19907,0.11066459034510474,0.3041643642939669,0.027176370121062943,0.7137690259707641,0.03476164163359622,0.1610991108655247,0.46973426432913046,2022,2.94,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 47%, Median Income: $205,821, % Hispanic: 16%",Austin,Travis County
78741,0.7114234716644355,59049,45780,0.04469200524246396,0.15083005679335953,0.24232718337976877,0.5731542158147662,0.10823503713411971,0.4938837920489297,0.2887505460899956,2022,2.03,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 49%, % Black: 11%, % White: 57%",Austin,Travis County
78742,0.5582010582010583,67500,1241,0.0684931506849315,0.36422240128928285,0.072522159548751,0.3585817888799355,0.07010475423045931,0.7308622078968574,0.05801772763900081,2022,3.28,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 73%, % Bachelor Plus: 6%, % White: 36%",Austin,Travis County
78744,0.7574394847879191,74702,49452,0.0714430154493246,0.2507684219040686,0.11371000405022276,0.4995146809026935,0.09123999029361805,0.6499029361805387,0.18992154007926879,2022,2.74,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 65%, % Black: 9%, % White: 50%",Austin,Travis County
78745,0.7796761970375473,80437,61322,0.13422588956655035,0.14991357098594305,0.10446856937007745,0.7535631584097061,0.03793092201819902,0.3769772675385669,0.3771729558722807,2022,2.1,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"Avg Household Size: 2.1, % Black: 4%, % Bachelor Plus: 38%",Austin,Travis County
78746,0.9363536316947909,174367,28329,0.15669455328462,0.2526739383670444,0.049270918749331524,0.8231494228529069,0.017473260616329558,0.11941826396978361,0.4972995869956582,2022,2.56,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 50%, % Hispanic: 12%, % White: 82%",Austin,Travis County
78747,0.7806257067470788,90704,21253,0.11918317414012139,0.22472121582835364,0.0747403210576015,0.5480167505763892,0.03853573613136969,0.571636945372418,0.263633369406672,2022,2.67,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 57%, % White: 55%, % Black: 4%",Austin,Travis County
78748,0.8303032877410585,94143,53550,0.10989729225023342,0.1977217553688142,0.08602979908194748,0.7074136321195145,0.06069094304388422,0.32633053221288516,0.3746778711484594,2022,2.26,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 37%, % White: 71%, Median Income: $94,143",Austin,Travis County
78749,0.813442007891843,118174,34714,0.1457049029210117,0.18894394192544794,0.05133344953808611,0.7173762747018494,0.03381920838854641,0.19793167021950797,0.47871175894451806,2022,2.24,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 48%, Median Income: $118,174, % Hispanic: 20%",Austin,Travis County
78750,0.9095777368097621,118186,28564,0.15025906735751296,0.21789665312981374,0.04108336264509321,0.6680436913597535,0.05156840778602437,0.17861644027447135,0.42949166783363674,2022,2.5,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"Median Income: $118,186, % Hispanic: 18%, Poverty Rate: 4%",Austin,Travis County
78751,0.9104876419505677,75972,16326,0.05053289231900037,0.06333455837314712,0.14186660121494754,0.7363101800808526,0.026889623912777164,0.2208746784270489,0.5724611049859121,2022,1.81,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,1,"% Bachelor Plus: 57%, Median Income: $75,972, % Black: 3%",Austin,Travis County
78752,0.7236000775043596,62931,22599,0.08628700384972786,0.1681932828886234,0.1718036276553284,0.4690473029780079,0.1559803531129696,0.48621620425682555,0.2660737200761096,2022,2.18,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 49%, % Black: 16%, % White: 47%",Austin,Travis County
78753,0.6737799693929604,60045,59951,0.07491117746159363,0.23512535237110307,0.17525547935995697,0.49218528464913014,0.16853763907190872,0.5031609147470434,0.2115394238628213,2022,2.53,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% Hispanic: 50%, % Black: 17%, % White: 49%",Austin,Travis County
78754,0.8580563735801431,88382,31110,0.08109932497589199,0.25670202507232404,0.160358790694673,0.46075216972034716,0.1707810993249759,0.4123754419800707,0.2556091288974606,2022,2.61,AUSTIN,TX,"austin, texas",Total,Census Place,4805000,Austin,489545,R,Any Technology,1.0,1.0,1.0,1.0,0.9394,0.7014,0,"% White: 46%, % Black: 17%, Poverty Rate: 16%",Austin,Travis County
